src,dst,weight
AER,KZN,1
ASF,KZN,1
ASF,MRV,1
CEK,KZN,1
CEK,OVB,1
DME,KZN,1
DME,NBC,1
DME,TGK,1
DME,UUA,1
EGO,KGD,1
EGO,KZN,1
GYD,NBC,1
KGD,EGO,1
KZN,AER,1
KZN,ASF,1
KZN,CEK,1
KZN,DME,1
KZN,EGO,1
KZN,LED,1
KZN,SVX,1
LED,KZN,1
LED,NBC,1
LED,UUA,1
MRV,ASF,1
NBC,DME,1
NBC,GYD,1
NBC,LED,1
NBC,SVX,1
NJC,SVX,1
NJC,UUA,1
NUX,SVX,1
OVB,CEK,1
OVB,SVX,1
SVX,KZN,1
SVX,NBC,1
SVX,NJC,1
SVX,NUX,1
SVX,OVB,1
TGK,DME,1
UUA,DME,1
UUA,LED,1
UUA,NJC,1
BTK,IKT,1
BTK,OVB,1
CEK,OVB,1
HTA,IKT,1
IKT,BTK,1
IKT,HTA,1
IKT,KCK,1
IKT,ODO,1
IKT,OVB,1
IKT,UKX,1
IKT,ULK,1
IKT,YKS,1
KCK,IKT,1
MJZ,OVB,1
ODO,IKT,1
OVB,BTK,1
OVB,CEK,1
OVB,IKT,1
UKX,IKT,1
ULK,IKT,1
YKS,IKT,1
AYP,LIM,1
CUZ,LIM,1
CUZ,PEM,1
HUU,LIM,1
IQT,PCL,1
IQT,TPP,1
LIM,AYP,1
LIM,CUZ,1
LIM,HUU,1
LIM,PCL,1
LIM,TPP,1
PCL,IQT,1
PCL,LIM,1
PCL,TPP,1
PEM,CUZ,1
TPP,IQT,1
TPP,LIM,1
TPP,PCL,1
ABJ,BOY,1
ABJ,OUA,1
ACC,OUA,1
BKO,ABJ,1
BKO,DKR,1
BKO,OUA,1
BOY,ABJ,1
BOY,OUA,1
COO,LFW,1
COO,OUA,1
DKR,BKO,1
DKR,OUA,1
LFW,OUA,1
NIM,OUA,1
OUA,ABJ,1
OUA,ACC,1
OUA,BKO,1
OUA,BOY,1
OUA,COO,1
OUA,DKR,1
OUA,LFW,1
OUA,NIM,1
BOG,GYE,1
BOG,UIO,1
CLO,GYE,1
GYE,BOG,1
GYE,CLO,1
GYE,SCY,1
GYE,UIO,1
OCC,UIO,1
SCY,GYE,1
UIO,BOG,1
UIO,GYE,1
UIO,OCC,1
BDS,ZRH,1
BOD,ZRH,1
BRS,ZRH,1
GVA,LPA,1
LCA,ZRH,1
LPA,ZRH,1
RMF,ZRH,1
TFS,GVA,1
ZRH,BDS,1
ZRH,BOD,1
ZRH,BRS,1
ZRH,LCA,1
ZRH,LPA,1
ZRH,RMF,1
AJR,LYC,1
ARN,GEV,1
ARN,HAD,1
ARN,JKG,1
ARN,KRF,1
ARN,KSD,1
ARN,LYC,1
ARN,MHQ,1
ARN,OER,1
ARN,POR,1
ARN,TRF,1
ARN,VBY,1
ARN,VHM,1
ARN,VXO,1
GEV,ARN,1
GEV,KRF,1
HAD,ARN,1
HAD,JKG,1
HAD,VXO,1
HMV,VHM,1
JKG,ARN,1
JKG,HAD,1
KOK,POR,1
KRF,ARN,1
KRF,GEV,1
KSD,ARN,1
LYC,AJR,1
LYC,ARN,1
MHQ,ARN,1
MHQ,TKU,1
OER,ARN,1
OSL,VXO,1
POR,ARN,1
POR,KOK,1
TKU,MHQ,1
TRF,ARN,1
VBY,ARN,1
VHM,ARN,1
VHM,HMV,1
VXO,ARN,1
VXO,OSL,1
ADQ,AOS,1
ADQ,KKB,1
ADQ,KLN,1
ADQ,KOZ,1
ADQ,OLH,1
AOS,KZB,1
KKB,SYB,1
KLN,KYK,1
KOZ,ORI,1
SYB,KPR,1
BSO,MNL,1
BXU,MNL,1
CBO,MNL,1
CGY,MNL,1
CRM,MNL,1
DGT,MNL,1
DWC,MNL,1
GES,MNL,1
KLO,MNL,1
LGP,MNL,1
MNL,BSO,1
MNL,BXU,1
MNL,CBO,1
MNL,CGY,1
MNL,CRM,1
MNL,DGT,1
MNL,DWC,1
MNL,GES,1
MNL,KLO,1
MNL,LGP,1
MNL,MPH,1
MNL,OZC,1
MNL,PPS,1
MNL,RXS,1
MNL,SUG,1
MNL,TUG,1
MNL,ZAM,1
MPH,MNL,1
OZC,MNL,1
PPS,MNL,1
RXS,MNL,1
SUG,MNL,1
TUG,MNL,1
ZAM,MNL,1
AUX,PMW,1
BRA,BSB,1
BRA,SSA,1
BSB,BRA,1
BSB,OPS,1
BSB,RAO,1
CAC,GRU,1
CGB,GYN,1
CGB,OPS,1
CGR,DOU,1
DOU,CGR,1
DOU,GRU,1
GIG,RAO,1
GRU,CAC,1
GRU,DOU,1
GRU,RAO,1
GRU,UBA,1
GRU,UDI,1
GRU,VDC,1
GYN,CGB,1
GYN,PMW,1
GYN,RAO,1
GYN,UDI,1
OPS,BSB,1
OPS,CGB,1
PLU,RAO,1
PMW,AUX,1
PMW,GYN,1
RAO,BSB,1
RAO,GIG,1
RAO,GRU,1
RAO,GYN,1
RAO,PLU,1
RAO,SJP,1
RAO,UDI,1
SJP,RAO,1
SSA,BRA,1
SSA,VDC,1
UBA,GRU,1
UBA,UDI,1
UDI,GRU,1
UDI,GYN,1
UDI,RAO,1
UDI,UBA,1
VDC,GRU,1
VDC,SSA,1
BRL,ORD,1
BRL,STL,1
DEC,ORD,1
DEC,STL,1
JBR,STL,1
ORD,BRL,1
ORD,DEC,1
STL,BRL,1
STL,DEC,1
STL,JBR,1
CGA,HYL,1
CGA,KTN,1
HYL,CGA,1
HYL,KTB,1
HYL,KTN,1
KTB,HYL,1
KTB,KTN,1
KTN,CGA,1
KTN,HYL,1
KTN,KTB,1
KTN,MTM,1
MTM,KTN,1
ACC,DKR,1
ACC,LOS,1
ACC,ROB,1
BCN,BJL,1
BJL,BCN,1
BJL,DKR,1
BJL,FNA,1
CKY,OXB,1
DKR,ACC,1
DKR,BJL,1
DKR,DLA,1
DKR,FNA,1
DKR,LOS,1
DKR,OXB,1
DLA,DKR,1
DLA,LOS,1
FNA,BJL,1
FNA,DKR,1
FNA,LGW,1
FNA,ROB,1
LGW,FNA,1
LOS,ACC,1
LOS,DKR,1
LOS,DLA,1
LOS,ROB,1
OXB,CKY,1
OXB,DKR,1
ROB,ACC,1
ROB,FNA,1
ROB,LOS,1
AKV,YIK,1
AKV,YPX,1
XGR,YVP,1
YGL,YGW,1
YGL,YPX,1
YGL,YUL,1
YGW,YGL,1
YGW,YPH,1
YGW,YSK,1
YGW,YUD,1
YGW,YUL,1
YGW,YUY,1
YIK,AKV,1
YIK,YZG,1
YKG,YPJ,1
YKG,YQC,1
YKG,YVP,1
YKL,YQB,1
YKL,YVP,1
YKL,YWK,1
YKL,YZV,1
YPH,YPX,1
YPH,YUD,1
YPH,YVP,1
YPJ,YKG,1
YPJ,YTQ,1
YPJ,YVP,1
YPX,AKV,1
YPX,YGL,1
YPX,YPH,1
YPX,YVP,1
YQB,YKL,1
YQB,YUL,1
YQC,YKG,1
YQC,YWB,1
YSK,YGW,1
YSK,YUD,1
YTQ,YPJ,1
YTQ,YVP,1
YUD,YGW,1
YUD,YPH,1
YUD,YSK,1
YUL,YGL,1
YUL,YGW,1
YUL,YQB,1
YUL,YUY,1
YUY,YGW,1
YUY,YUL,1
YVP,XGR,1
YVP,YGW,1
YVP,YKG,1
YVP,YKL,1
YVP,YPH,1
YVP,YPJ,1
YVP,YPX,1
YVP,YTQ,1
YWB,YQC,1
YWB,YZG,1
YWK,YKL,1
YWK,YZV,1
YZG,YIK,1
YZG,YWB,1
YZV,YKL,1
YZV,YWK,1
JIB,DXB,1
JIB,JED,1
JIB,MGQ,1
MGQ,NBO,1
NBO,MGQ,1
BKK,SIN,1
DRW,SIN,1
HAK,SIN,1
HGH,SIN,1
HKG,SIN,1
HKT,SIN,1
KIX,MNL,1
KIX,TPE,1
KUL,SIN,1
MNL,KIX,1
MNL,SIN,1
PEN,SIN,1
PER,SIN,1
PNH,SIN,1
REP,SIN,1
RGN,SIN,1
SGN,SIN,1
SIN,BKK,1
SIN,DRW,1
SIN,HAK,1
SIN,HGH,1
SIN,HKG,1
SIN,HKT,1
SIN,KUL,1
SIN,MNL,1
SIN,PEN,1
SIN,PER,1
SIN,PNH,1
SIN,REP,1
SIN,RGN,1
SIN,SGN,1
SIN,SWA,1
SIN,TPE,1
SWA,SIN,1
TPE,KIX,1
TPE,SIN,1
ACH,EBA,1
DRS,ZRH,1
DUS,FDH,1
EBA,ACH,1
EBA,FDH,1
EBA,MUC,1
EBA,ZRH,1
FDH,DUS,1
FDH,EBA,1
FDH,HAM,1
FDH,OLB,1
FDH,TXL,1
FDH,ZAD,1
FMM,NAP,1
GRZ,ZRH,1
HAM,FDH,1
MUC,EBA,1
NAP,FMM,1
OLB,FDH,1
SZG,ZRH,1
TXL,FDH,1
ZAD,FDH,1
ZRH,DRS,1
ZRH,EBA,1
ZRH,GRZ,1
ZRH,SZG,1
ATL,LWB,1
ATL,MCN,1
ATL,MEI,1
ATL,MSL,1
ATL,PIB,1
ATL,TUP,1
BIM,FLL,1
ELH,FLL,1
ELH,PBI,1
EYW,FLL,1
EYW,RSW,1
EYW,TPA,1
FLL,BIM,1
FLL,ELH,1
FLL,EYW,1
FLL,FPO,1
FLL,GGT,1
FLL,GHB,1
FLL,MCO,1
FLL,MHH,1
FLL,TCB,1
FLL,TPA,1
FPO,FLL,1
GGT,FLL,1
GGT,GHB,1
GHB,FLL,1
GLH,TUP,1
GNV,MCO,1
GNV,TPA,1
JAX,MHH,1
JAX,TPA,1
LWB,ATL,1
MCN,ATL,1
MCN,MCO,1
MCO,FLL,1
MCO,GNV,1
MCO,MCN,1
MCO,MHH,1
MCO,PNS,1
MCO,RSW,1
MCO,TLH,1
MEI,ATL,1
MHH,FLL,1
MHH,JAX,1
MHH,MCO,1
MHH,PBI,1
MSL,ATL,1
PBI,ELH,1
PBI,MHH,1
PBI,TPA,1
PIB,ATL,1
PNS,MCO,1
PNS,TPA,1
RSW,EYW,1
RSW,MCO,1
TCB,FLL,1
TLH,MCO,1
TLH,TPA,1
TPA,EYW,1
TPA,FLL,1
TPA,GNV,1
TPA,JAX,1
TPA,PBI,1
TPA,PNS,1
TPA,TLH,1
TUP,ATL,1
TUP,GLH,1
AMS,NDR,1
AMS,TNG,1
BCN,CMN,1
BCN,NDR,1
BCN,TNG,1
BGY,CMN,1
BLQ,CMN,1
BRU,CMN,1
BRU,NDR,1
BRU,TNG,1
CGN,NDR,1
CMN,BCN,1
CMN,BGY,1
CMN,BLQ,1
CMN,BRU,1
CMN,CUF,1
CMN,LGW,1
CMN,LYS,1
CMN,MPL,1
CMN,SAW,1
CMN,TLS,1
CMN,TSF,1
CUF,CMN,1
FEZ,MPL,1
LGW,CMN,1
LGW,TNG,1
LYS,CMN,1
MPL,CMN,1
MPL,FEZ,1
MPL,NDR,1
NDR,AMS,1
NDR,BCN,1
NDR,BRU,1
NDR,CGN,1
NDR,MPL,1
NDR,PMI,1
PMI,NDR,1
SAW,CMN,1
TLS,CMN,1
TNG,AMS,1
TNG,BCN,1
TNG,BRU,1
TNG,LGW,1
TSF,CMN,1
AUA,LSP,1
AUA,MAR,1
BON,CUR,1
CUR,AUA,1
LSP,AUA,1
MAR,AUA,1
ASF,DME,1
ASF,LED,1
BHK,DME,1
DME,ASF,1
DME,BHK,1
DME,EGO,1
DME,FEG,1
DME,KSQ,1
DME,NMA,1
DME,NVI,1
DME,SKD,1
DME,TIV,1
EGO,DME,1
FEG,DME,1
KSQ,DME,1
LED,ASF,1
NMA,DME,1
NVI,DME,1
SKD,DME,1
TIV,DME,1
ANU,PTP,1
CAY,FDF,1
CUR,SDQ,1
DOM,PTP,1
DOM,SXM,1
FDF,CAY,1
FDF,PTP,1
FDF,SDQ,1
FDF,SLU,1
PTP,ANU,1
